filename,group,baseline_text,target_text,needs_correction,edit_distance,baseline_score
bg_confusion_000000002.png,bg_confusion,燕老味发,秦晋味道,1,3,0.178237
bg_confusion_000000003.png,bg_confusion,小城,太重宾馆,1,4,0.057654
bg_confusion_000000004.png,bg_confusion,,补胎,1,2,0.204697
bg_confusion_000000005.png,bg_confusion,内设包厢订电店,内设包厢订餐送餐电话,1,4,0.069550
bg_confusion_000000006.png,bg_confusion,炸寓,炸串,1,1,0.197407
bg_confusion_000000007.png,bg_confusion,国城店,第1世界大店,1,5,0.049279
bg_confusion_000000008.png,bg_confusion,夏丰修,夏丰纺纱,1,2,0.282550
bg_confusion_000000009.png,bg_confusion,岳各龙水站,岳各庄水站,1,1,0.157712
bg_confusion_000000011.png,bg_confusion,美海用卫有城公用区车区公产品部,秋梅贸易有限公司优农汇农产品连锁,1,12,0.051101
bg_confusion_000000012.png,bg_confusion,龙联写者部,新联写字楼,1,3,0.067396
bg_confusion_000000014.png,bg_confusion,纪翟路三百五十五养一百支杂,纪翟路三百五十五弄一百支弄,1,2,0.110630
bg_confusion_000000015.png,bg_confusion,,方正证券,1,4,0.032574
bg_confusion_000000017.png,bg_confusion,千兆到家万千浆,千兆到家万千未来,1,2,0.132915
bg_confusion_000000018.png,bg_confusion,52司,13907162417,1,10,0.097713
bg_confusion_000000019.png,bg_confusion,定沃融工地配电箱,定做各种工地配电箱,1,3,0.088141
bg_confusion_000000020.png,bg_confusion,公酒楼,音浩日娲酒楼,1,4,0.101624
bg_confusion_000000021.png,bg_confusion,京瑜中西修,北京裕和中西医,1,4,0.170563
bg_confusion_000000022.png,bg_confusion,苏小店,苏妈小店,1,1,0.143797
bg_confusion_000000023.png,bg_confusion,温州自社设空务团饮工作室,四道口社区警务团队工作室,1,6,0.063468
bg_confusion_000000024.png,bg_confusion,新四学园,新四季园林,1,2,0.245743
bg_confusion_000000025.png,bg_confusion,南鑫馆,尚宾馆,1,2,0.398181
bg_confusion_000000026.png,bg_confusion,非物质文化遇产保护项目,非物质文化遗产保护项目,1,1,0.293110
bg_confusion_000000027.png,bg_confusion,,金恒德宾馆,1,5,0.050635
bg_confusion_000000028.png,bg_confusion,汇丰饺学园,汇丰饺子园,1,1,0.771081
bg_confusion_000000029.png,bg_confusion,中市店,金牛酒店,1,3,0.043886
bg_confusion_000000030.png,bg_confusion,有能鱼鲜作,新鮮冰淇淋·茶飲,1,8,0.064963
bg_confusion_000000031.png,bg_confusion,福,平海国际,1,4,0.047952
bg_confusion_000000032.png,bg_confusion,店,北京中房恒润环保科技发展有限公司,1,16,0.044826
bg_confusion_000000033.png,bg_confusion,上爱是材,金胖子排挡,1,5,0.055042
bg_confusion_000000034.png,bg_confusion,时,啊,1,1,0.135241
bg_confusion_000000035.png,bg_confusion,配送电话:13701872626 15216783389,配送电话：1370187262015216783389,1,3,0.465735
bg_confusion_000000036.png,bg_confusion,地,富尔特宾馆,1,5,0.089224
bg_confusion_000000037.png,bg_confusion,我银,中国银,1,2,0.271851
bg_confusion_000000038.png,bg_confusion,瑞广,张英粉大骗子,1,6,0.050071
bg_confusion_000000039.png,bg_confusion,,夏不为利,1,4,0.067072
bg_confusion_000000040.png,bg_confusion,h,学而思培优,1,5,0.148092
bg_confusion_000000041.png,bg_confusion,字耳,穿耳,1,1,0.093352
bg_confusion_000000042.png,bg_confusion,开鱼,雅,1,2,0.170930
bg_confusion_000000043.png,bg_confusion,阿健品家,同仁医院,1,4,0.056842
bg_confusion_000000044.png,bg_confusion,福,眼镜酸,1,3,0.117345
bg_confusion_000000045.png,bg_confusion,博牌景超带店,红房子招待所,1,6,0.084391
bg_confusion_000000046.png,bg_confusion,南鲜社店,胜高连锁酒店,1,5,0.051577
bg_confusion_000000047.png,bg_confusion,西,西安腊,1,2,0.149363
bg_confusion_000000048.png,bg_confusion,y,上海市非物质文化遗产,1,10,0.029608
bg_confusion_000000049.png,bg_confusion,此处不待，国，事家承食在,此处不得车现事故承责任,1,7,0.084272
bg_confusion_000000050.png,bg_confusion,鑫,一曲中国梦,1,5,0.180615
bg_confusion_000000051.png,bg_confusion,之部,dentalgr,1,8,0.043996
bg_confusion_000000052.png,bg_confusion,紫利棋护,学习铁成精神,1,6,0.052759
bg_confusion_000000054.png,bg_confusion,建中中馆,福乐时尚宾馆,1,5,0.122472
bg_confusion_000000055.png,bg_confusion,尚床在国影餐有限公司,重庆金翔影音有限公司,1,5,0.094579
bg_confusion_000000056.png,bg_confusion,菜,温州,1,2,0.062809
bg_confusion_000000057.png,bg_confusion,,新博美装饰城,1,6,0.140745
bg_confusion_000000058.png,bg_confusion,浙商银材,浙商银行,1,1,0.321394
bg_confusion_000000059.png,bg_confusion,南南益,圆通速递,1,4,0.085522
bg_confusion_000000060.png,bg_confusion,,恒通快速充电巴士,1,8,0.059401
bg_confusion_000000061.png,bg_confusion,O,广州启税财务代理有限公司,1,12,0.088804
bg_confusion_000000063.png,bg_confusion,TIME,ytime,1,5,0.105845
bg_confusion_000000064.png,bg_confusion,镜,wall,1,4,0.074140
bg_confusion_000000065.png,bg_confusion,shob463309774. tadbartrcom,shop463309774.taobao.com,1,6,0.318489
bg_confusion_000000066.png,bg_confusion,,industrial,1,10,0.034849
bg_confusion_000000067.png,bg_confusion,日线,無損傷,1,3,0.062385
bg_confusion_000000068.png,bg_confusion,专业以割石材不材等,专业切割石材木材等,1,2,0.167755
bg_confusion_000000069.png,bg_confusion,ttrt.cnalibaba.com,ttrf.cn.alibaba.com,1,2,0.686794
bg_confusion_000000070.png,bg_confusion,斯,一款,1,2,0.121464
bg_confusion_000000071.png,bg_confusion,好众来通信,好又来通信,1,1,0.114202
bg_confusion_000000072.png,bg_confusion,MAVEUP,makeup,1,6,0.380270
bg_confusion_000000073.png,bg_confusion,X,龙新商行,1,4,0.054128
bg_confusion_000000074.png,bg_confusion,加湿,加温,1,1,0.982042
bg_confusion_000000076.png,bg_confusion,上海市S电机区ANnuna.eOW,http：//myzz.taobao.com,1,20,0.055011
bg_confusion_000000077.png,bg_confusion,电话183889616,电话18322989616,1,3,0.483200
bg_confusion_000000078.png,bg_confusion,千力佳电真工力家集取厂服亮干万家,千力佳照明照亮千万家千力佳照明照亮千万家,1,13,0.196297
bg_confusion_000000079.png,bg_confusion,HOP,hop,1,3,0.921555
bg_confusion_000000082.png,bg_confusion,,752853109,1,9,0.059568
bg_confusion_000000083.png,bg_confusion,COrn,com,1,4,0.318966
bg_confusion_000000084.png,bg_confusion,北华店,光华电子,1,3,0.148697
bg_confusion_000000085.png,bg_confusion,高心系,通讯ic系列,1,5,0.192507
bg_confusion_000000086.png,bg_confusion,0135742962,qq：375642962,1,5,0.228238
bg_confusion_000000087.png,bg_confusion,开宝贝2580,开心宝贝hj2580,1,3,0.102948
bg_confusion_000000088.png,bg_confusion,tamalunchk.tooboo.cem,ｌｕｎｇｌｕｎｇｈｋ．ｔａｏｂａｏ．ｃｏｍ,1,21,0.384902
bg_confusion_000000089.png,bg_confusion,海,jasonbao.taobao.com,1,19,0.086735
bg_confusion_000000092.png,bg_confusion,BLOOMING SWEET,bloomngsweet,1,14,0.610074
bg_confusion_000000093.png,bg_confusion,海盛,博盈信电子,1,5,0.063724
